retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
4/30/2023 20:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,74,p2,29,1007,45,1.45,186
4/30/2023 20:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,65,p2,28,1008,69,2.06,120
4/30/2023 20:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,61,p2,29,1009,58,2.06,130
4/30/2023 20:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,52,p2,30,1008,66,2.06,130
4/30/2023 20:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,67,p2,30,1007,71,2.02,163
4/30/2023 20:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,70,p2,28,1007,64,2.22,166
4/30/2023 20:18:32,TH-16,Ban Mi,Lop Buri,Thailand,64,p2,31,1007,58,2.74,162
4/30/2023 20:19:03,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,27,1007,73,3.43,232
4/30/2023 20:19:33,TH-21,Ban Khai,Rayong,Thailand,29,p2,29,1007,85,1.59,227
4/30/2023 20:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,84,p2,28,1008,58,5.14,230
4/30/2023 20:20:35,TH-52,Hang Chat,Lampang,Thailand,86,p2,22,1009,87,1.8,25
